date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:55:48	2625/2625	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22bfc40b04c612d57e437f831b5069fde0%22	https://istanbul-react.vercel.app/robots.txt		(from )
09:55:48	42168/42168	---MCZ	200	added ('OK')	text/html	etag:W/%228d7ebf945935a5d42b93f69bd08a983f%22	https://istanbul-react.vercel.app/	C:/Users/Nemesis{Aquib}/Desktop/fawfwfw/istanbul-react.vercel.app/index.html	(from )
09:55:48	144877/144877	---MCZ	200	added ('OK')	text/css	etag:W/%22450fc463b8b1a349df717056fbb3e078%22	https://istanbul-react.vercel.app/css/bootstrap.min.css	C:/Users/Nemesis{Aquib}/Desktop/fawfwfw/istanbul-react.vercel.app/css/bootstrap.min.css	(from https://istanbul-react.vercel.app/)
09:55:48	12698/12698	---MCZ	200	added ('OK')	text/css	etag:W/%22f090219013deb56b670e11dad5e85a70%22	https://istanbul-react.vercel.app/css/jquery.animatedheadline.css	C:/Users/Nemesis{Aquib}/Desktop/fawfwfw/istanbul-react.vercel.app/css/jquery.animatedheadline.css	(from https://istanbul-react.vercel.app/)
09:55:49	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://istanbul-react.vercel.app/css/font-awesome.min.css	C:/Users/Nemesis{Aquib}/Desktop/fawfwfw/istanbul-react.vercel.app/css/font-awesome.min.css	(from https://istanbul-react.vercel.app/)
09:55:49	26137/26137	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22bfc40b04c612d57e437f831b5069fde0%22	https://istanbul-react.vercel.app/public/css/plugins.css	C:/Users/Nemesis{Aquib}/Desktop/fawfwfw/istanbul-react.vercel.app/public/css/plugins.css	(from https://istanbul-react.vercel.app/)
09:55:49	55945/55945	---MCZ	200	added ('OK')	text/css	etag:W/%223e8e6bcbacf9bda7f91e41c48863a110%22	https://istanbul-react.vercel.app/css/style.css	C:/Users/Nemesis{Aquib}/Desktop/fawfwfw/istanbul-react.vercel.app/css/style.css	(from https://istanbul-react.vercel.app/)
09:55:49	3068/3068	---MCZ	200	added ('OK')	text/css	etag:W/%22fd0bd2f9f94c33a3fafcfd918ce6b750%22	https://istanbul-react.vercel.app/css/styleswitcher.css	C:/Users/Nemesis{Aquib}/Desktop/fawfwfw/istanbul-react.vercel.app/css/styleswitcher.css	(from https://istanbul-react.vercel.app/)
09:55:50	2802/2802	---MCZ	200	added ('OK')	text/css	etag:W/%2228f772113c36f736120da66588d9b61b%22	https://istanbul-react.vercel.app/css/skins/yellow.css	C:/Users/Nemesis{Aquib}/Desktop/fawfwfw/istanbul-react.vercel.app/css/skins/yellow.css	(from https://istanbul-react.vercel.app/)
09:55:50	37142/37142	---MCZ	200	added ('OK')	text/css	etag:W/%2208647544600df5ef7d1d813118c34f60%22	https://istanbul-react.vercel.app/_next/static/css/d07cee16146ae897.css	C:/Users/Nemesis{Aquib}/Desktop/fawfwfw/istanbul-react.vercel.app/_next/static/css/d07cee16146ae897.css	(from https://istanbul-react.vercel.app/)
09:55:50	91461/91461	---MCZ	200	added ('OK')	application/javascript	etag:W/%2240ccea369337cec877151c906f22814d%22	https://istanbul-react.vercel.app/_next/static/chunks/polyfills-0d1b80a048d4787e.js	C:/Users/Nemesis{Aquib}/Desktop/fawfwfw/istanbul-react.vercel.app/_next/static/chunks/polyfills-0d1b80a048d4787e.js	(from https://istanbul-react.vercel.app/)
09:55:50	3414/3414	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d37c684ad9ede54139f88ef98153f614%22	https://istanbul-react.vercel.app/_next/static/chunks/webpack-4480040a77ca9db8.js	C:/Users/Nemesis{Aquib}/Desktop/fawfwfw/istanbul-react.vercel.app/_next/static/chunks/webpack-4480040a77ca9db8.js	(from https://istanbul-react.vercel.app/)
09:55:50	140930/140930	---MCZ	200	added ('OK')	application/javascript	etag:W/%224af7a03f4bbda417f4968b58d996107d%22	https://istanbul-react.vercel.app/_next/static/chunks/framework-4556c45dd113b893.js	C:/Users/Nemesis{Aquib}/Desktop/fawfwfw/istanbul-react.vercel.app/_next/static/chunks/framework-4556c45dd113b893.js	(from https://istanbul-react.vercel.app/)
09:55:51	107589/107589	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cfc154aa4e57690610819b0948190804%22	https://istanbul-react.vercel.app/_next/static/chunks/main-5ae059702bc551aa.js	C:/Users/Nemesis{Aquib}/Desktop/fawfwfw/istanbul-react.vercel.app/_next/static/chunks/main-5ae059702bc551aa.js	(from https://istanbul-react.vercel.app/)
09:55:51	4069/4069	---MCZ	200	added ('OK')	application/javascript	etag:W/%222bb7455f700ef8f0c8d6fc42a196c1da%22	https://istanbul-react.vercel.app/_next/static/chunks/pages/_app-a45f3db7fcd1502b.js	C:/Users/Nemesis{Aquib}/Desktop/fawfwfw/istanbul-react.vercel.app/_next/static/chunks/pages/_app-a45f3db7fcd1502b.js	(from https://istanbul-react.vercel.app/)
09:55:51	73719/73719	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e36f4774bec2761e562ba3a5082d1d3f%22	https://istanbul-react.vercel.app/_next/static/chunks/539-c9bb756418cdcdce.js	C:/Users/Nemesis{Aquib}/Desktop/fawfwfw/istanbul-react.vercel.app/_next/static/chunks/539-c9bb756418cdcdce.js	(from https://istanbul-react.vercel.app/)
09:55:51	31636/31636	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267e802d10f7a16ace94617a8a48111b9%22	https://istanbul-react.vercel.app/_next/static/chunks/9-3925be9cab6c139e.js	C:/Users/Nemesis{Aquib}/Desktop/fawfwfw/istanbul-react.vercel.app/_next/static/chunks/9-3925be9cab6c139e.js	(from https://istanbul-react.vercel.app/)
